#{"t_start": 1716949820.8427901, "env_id": "None"}
r,l,t
-0.18,18,32.547895
-0.11,11,32.598926
-0.13,13,32.660539
-0.04,4,32.670049
-0.05,5,32.681579
499.73,28,32.747837
-0.14,14,32.794948
-0.06,6,32.817078
-0.08,8,32.848171
-0.08,8,32.884733
-0.05,5,32.930572
-0.04,4,32.961119
-0.24,24,33.060562
-0.1,10,33.086628
-0.17,17,33.125702
-0.04,4,33.134268
-0.16,16,33.171073
-0.18,18,33.226621
-0.09,9,33.250791
-0.04,4,33.260802
-0.06,6,33.274511
-0.08,8,33.292515
-0.05,5,33.309536
-0.05,5,33.32824
-0.15,15,33.361015
-0.03,3,33.368427
-0.04,4,33.377974
-0.05,5,33.38867
-0.07,7,33.404867
-0.16,16,33.477244
-0.1,10,33.50359
-0.03,3,33.512063
-0.08,8,33.544687
-0.1,10,33.567724
-0.06,6,33.580902
-0.04,4,33.589958
-0.18,18,33.639148
-0.07,7,33.669471
499.85,16,33.715088
-0.17,17,33.775491
-0.09,9,33.806053
-0.08,8,33.824297
-0.26,26,33.907945
-0.05,5,33.919082
-0.17,17,33.96645
-0.13,13,34.01694
-0.15,15,34.051323
-0.07,7,34.07515
-0.06,6,34.113012
-0.12,12,34.160873
-0.05,5,34.193871
-0.1,10,34.247651
-0.07,7,34.264805
-0.06,6,34.282562
-0.35,35,34.376963
-0.14,14,34.42459
-0.07,7,34.443637
-0.07,7,34.45865
-0.05,5,34.471175
-0.1,10,34.497712
-0.06,6,34.519262
-0.08,8,34.546001
-0.04,4,34.5551
-0.12,12,34.583712
-0.05,5,34.596257
-0.1,10,34.637567
-0.03,3,34.649108
-0.03,3,34.65914
-0.03,3,34.675266
-0.04,4,34.694357
-0.13,13,34.749388
-0.19,19,34.811137
-0.04,4,34.820648
-0.07,7,34.839562
-0.13,13,34.891304
-0.07,7,34.908833
-0.08,8,34.927457
-0.16,16,34.974673
-0.03,3,34.989341
-0.04,4,34.998362
-0.05,5,35.009953
-0.09,9,35.029991
-0.13,13,35.059222
-0.1,10,35.097297
-0.23,23,35.19603
-0.1,10,35.21893
-0.03,3,35.225946
-0.2,20,35.271869
-0.14,14,35.403403
499.83,18,35.452884
-0.12,12,35.48043
-0.07,7,35.496937
-0.14,14,35.542545
