#{"t_start": 1716825943.2635386, "env_id": "None"}
r,l,t
-10.24,25,34.372529
-10.44,45,34.449897
-10.02,3,34.455403
-10.23,24,34.49294
-10.22,23,34.523494
-10.53,54,34.615907
-10.14,15,34.639453
-10.47,48,34.746815
-10.84,85,34.958568
-10.15,16,34.993714
-10.1,11,35.02874
-10.35,36,35.114859
-10.03,4,35.125441
-10.02,3,35.13138
-10.12,13,35.159999
-10.13,14,35.242876
-10.09,10,35.304078
-10.02,3,35.311075
-10.02,3,35.321589
-10.08,9,35.342628
-10.03,4,35.350696
-10.31,32,35.436011
-10.87,88,35.682158
-10.08,9,35.718552
-10.02,3,35.723814
-10.03,4,35.735947
-11.63,164,36.121513
-10.25,26,36.196092
-10.1,11,36.241582
-10.11,12,36.27966
-10.12,13,36.318728
-10.05,6,36.361793
-10.05,6,36.406843
-10.03,4,36.420887
-10.04,5,36.431208
-10.61,62,36.555902
-10.1,11,36.571921
-10.02,3,36.58092
-10.03,4,36.586969
-10.38,39,36.655452
-10.04,5,36.662958
-10.03,4,36.673554
-10.02,3,36.679476
-10.03,4,36.687001
-10.05,6,36.697509
-10.03,4,36.70902
-10.04,5,36.719536
-10.02,3,36.721537
-10.02,3,36.731051
-10.02,3,36.742559
-11.13,114,37.043373
-10.06,7,37.061904
-10.19,20,37.10424
-10.03,4,37.114751
-10.04,5,37.121747
-10.06,7,37.132275
-10.04,5,37.140974
-10.04,5,37.156559
-10.04,5,37.163551
-10.25,26,37.210102
-10.26,27,37.278083
-10.08,9,37.297218
-10.45,46,37.416222
-10.04,5,37.429732
-10.02,3,37.440252
-10.02,3,37.450273
-10.04,5,37.457782
-10.05,6,37.471293
-10.02,3,37.48181
-10.04,5,37.492317
-10.04,5,37.504827
-10.02,3,37.509336
-10.02,3,37.521904
-10.03,4,37.538459
-10.02,3,37.547034
-10.02,3,37.561164
-10.02,3,37.564169
-10.11,12,37.612869
-10.32,33,37.696734
-11.18,119,37.982293
-10.09,10,38.008804
-10.52,53,38.147832
-10.16,17,38.191896
-10.45,46,38.329582
-10.12,13,38.361997
-10.25,26,38.434585
-10.41,42,38.552943
-10.22,23,38.626844
-10.52,53,38.8471
-10.07,8,38.865672
-11.06,107,39.08471
-10.52,53,39.227861
-10.02,3,39.23692
-10.8,81,39.429058
-10.04,5,39.442534
-10.1,11,39.473179
-10.53,54,39.626164
-10.08,9,39.645633
-10.4,41,39.739265
-10.24,25,39.795822
-10.1,11,39.82242
-10.47,48,39.961859
-10.24,25,40.034413
-11.41,142,40.373746
-10.82,83,40.573861
-10.09,10,40.595478
-10.21,22,40.638657
-11.63,164,40.975794
-10.07,8,40.99192
-10.67,68,41.177004
-10.14,15,41.213687
-10.03,4,41.22227
-10.02,3,41.232845
-10.06,7,41.251236
-10.73,74,41.433716
-10.17,18,41.472594
-10.33,34,41.541499
-10.19,20,41.586184
-11.91,192,42.019482
-10.14,15,42.048028
-10.08,9,42.06306
-10.29,30,42.125164
-10.02,3,42.13069
-10.14,15,42.160219
-10.35,36,42.234683
-10.24,25,42.329859
-10.4,41,42.460704
-10.23,24,42.517332
-10.03,4,42.530361
-10.07,8,42.551394
-10.35,36,42.656629
-11.12,113,42.94638
-10.8,81,43.124472
-10.58,59,43.296444
-10.12,13,43.323646
-11.0,101,43.565623
-10.34,35,43.636415
-10.32,33,43.705652
-10.06,7,43.71471
-10.17,18,43.743957
-10.65,66,43.857747
-10.05,6,43.875926
-10.05,6,43.885458
-10.36,37,43.951369
-10.04,5,43.959417
-10.04,5,43.970451
-10.08,9,43.986476
-10.49,50,44.076555
-10.18,19,44.107797
-10.1,11,44.141741
