#{"t_start": 1716825818.5659237, "env_id": "None"}
r,l,t
-10.11,12,7.278932
-10.06,7,7.284101
-10.04,5,7.293611
-10.02,3,7.296613
-10.02,3,7.298613
-10.02,3,7.301119
-10.02,3,7.304123
-10.02,3,7.306124
-10.09,10,7.316636
-10.03,4,7.319634
-10.03,4,7.323144
-10.04,5,7.326145
499.9,11,7.334656
-10.04,5,7.338656
-10.05,6,7.343168
-10.02,3,7.345167
-10.02,3,7.348168
-10.03,4,7.351167
499.92,9,7.363696
-10.03,4,7.3677
-10.04,5,7.371701
-10.03,4,7.374769
-10.02,3,7.376768
-10.03,4,7.380769
-10.02,3,7.382767
-10.04,5,7.387282
-10.03,4,7.390282
-10.03,4,7.393794
-10.02,3,7.3958
-10.04,5,7.399799
-10.02,3,7.4028
-10.02,3,7.405312
-10.02,3,7.409311
-10.02,3,7.413311
-10.02,3,7.426346
-10.03,4,7.430341
-10.02,3,7.433342
-10.04,5,7.438855
-10.05,6,7.444855
-10.03,4,7.450367
-10.04,5,7.454878
-10.03,4,7.459392
-10.08,9,7.467897
-10.02,3,7.471903
-10.03,4,7.475904
-10.03,4,7.480416
-10.02,3,7.483417
-10.02,3,7.487418
-10.02,3,7.489929
-10.03,4,7.494929
-10.05,6,7.505444
-10.02,3,7.509444
-10.03,4,7.513956
-10.05,6,7.520464
-10.02,3,7.523472
-10.02,3,7.52647
-10.02,3,7.529471
-10.03,4,7.537021
-10.03,4,7.541019
-10.02,3,7.543599
-10.02,3,7.546623
-10.04,5,7.552178
-10.1,11,7.562334
-10.03,4,7.566335
-10.02,3,7.569335
-10.02,3,7.572909
-10.03,4,7.583395
-10.03,4,7.586424
-10.02,3,7.589422
-10.02,3,7.592426
-10.02,3,7.597805
-10.02,3,7.601804
-10.04,5,7.60838
-10.04,5,7.613955
-10.04,5,7.618921
-10.04,5,7.623429
-10.03,4,7.628466
-10.05,6,7.634467
-10.03,4,7.641477
-10.02,3,7.645475
-10.02,3,7.647475
-10.04,5,7.652996
-10.02,3,7.663042
-10.02,3,7.666043
-10.02,3,7.669042
-10.02,3,7.672123
-10.05,6,7.678123
-10.02,3,7.681638
-10.02,3,7.684671
-10.04,5,7.690206
-10.03,4,7.694242
-10.02,3,7.697244
-10.02,3,7.700805
-10.06,7,7.707844
-10.04,5,7.712432
-10.06,7,7.719425
-10.04,5,7.724967
-10.02,3,7.728003
-10.05,6,7.738512
-10.04,5,7.744034
-10.02,3,7.747035
-10.02,3,7.752549
-10.03,4,7.757094
-10.02,3,7.760095
-10.04,5,7.765665
-10.03,4,7.769668
-10.07,8,7.777237
-10.04,5,7.782816
-10.04,5,7.787822
-10.02,3,7.790818
-10.03,4,7.795361
-10.02,3,7.798357
-10.53,54,7.862065
-10.03,4,7.864573
-10.03,4,7.876097
-10.06,7,7.883098
-10.02,3,7.90563
-10.07,8,7.917148
-10.02,3,7.921148
-10.02,3,7.924195
-10.05,6,7.930367
-10.02,3,7.933371
-10.03,4,7.936903
-10.02,3,7.939908
-10.04,5,7.943939
-10.04,5,7.948481
-10.04,5,7.952482
-10.02,3,7.955028
-10.03,4,7.95857
-10.04,5,7.962569
-10.07,8,7.977589
-10.02,3,7.980594
-10.02,3,7.983596
-10.02,3,7.986593
-10.02,3,7.989103
-10.04,5,7.993103
-10.04,5,7.997104
-10.02,3,8.000686
-10.04,5,8.004682
-10.03,4,8.007682
-10.03,4,8.011253
-10.02,3,8.014254
-10.02,3,8.017257
-10.03,4,8.020835
-10.02,3,8.023836
-10.02,3,8.025836
-10.05,6,8.037348
-10.02,3,8.039855
-10.02,3,8.042897
-10.02,3,8.045895
-10.03,4,8.048895
-10.02,3,8.052444
-10.11,12,8.061137
-10.02,3,8.064166
-10.02,3,8.067167
-10.02,3,8.070166
-10.02,3,8.072737
-10.02,3,8.074745
-10.02,3,8.080282
-10.02,3,8.083325
-10.04,5,8.087322
-10.05,6,8.092908
-10.04,5,8.103413
-10.02,3,8.106425
-10.02,3,8.109414
-10.02,3,8.111928
-10.02,3,8.114927
-10.02,3,8.117958
-10.03,4,8.121517
-10.04,5,8.12556
-10.02,3,8.128558
-10.02,3,8.131093
-10.02,3,8.134104
-10.02,3,8.138133
-10.03,4,8.14164
-10.05,6,8.146676
-10.03,4,8.150678
-10.07,8,8.157805
-10.02,3,8.166915
-10.06,7,8.175427
-10.04,5,8.182942
-10.04,5,8.19094
-10.02,3,8.193454
-10.08,9,8.203968
-10.05,6,8.210966
-10.02,3,8.215478
-10.02,3,8.219477
-10.04,5,8.224992
-10.03,4,8.22999
-10.04,5,8.236608
-10.02,3,8.240603
-10.04,5,8.247154
-10.02,3,8.251151
499.64,37,8.292412
-10.02,3,8.304952
-10.03,4,8.309951
-10.02,3,8.315187
-10.04,5,8.321703
-10.06,7,8.330704
-10.04,5,8.337219
-10.02,3,8.340724
-10.09,10,8.352241
-10.06,7,8.359753
-10.1,11,8.37284
-10.03,4,8.377809
-10.03,4,8.383323
-10.04,5,8.389325
-10.02,3,8.393902
-10.03,4,8.398903
-10.02,3,8.402904
-10.04,5,8.41496
-10.05,6,8.419961
-10.04,5,8.427474
-10.04,5,8.432475
-10.02,3,8.436987
-10.02,3,8.441017
-10.02,3,8.445561
499.93,8,8.454674
-10.05,6,8.461711
-10.02,3,8.465286
-10.04,5,8.471286
-10.03,4,8.47683
-10.03,4,8.481838
-10.03,4,8.486389
-10.09,10,8.499448
-10.02,3,8.503358
-10.06,7,8.518867
499.78,23,8.536889
-10.02,3,8.538889
-10.02,3,8.5424
-10.02,3,8.544402
-10.03,4,8.548429
-10.02,3,8.55143
-10.04,5,8.555528
-10.03,4,8.55954
-10.04,5,8.56312
-10.02,3,8.566118
-10.02,3,8.56909
-10.12,13,8.578696
-10.02,3,8.582169
-10.02,3,8.585217
-10.07,8,8.591204
-10.04,5,8.602256
-10.02,3,8.60426
-10.02,3,8.607262
-10.02,3,8.610262
-10.02,3,8.612767
-10.02,3,8.615772
-10.05,6,8.620772
-10.04,5,8.625281
-10.02,3,8.631283
-10.02,3,8.635794
-10.15,16,8.652407
-10.02,3,8.657545
-10.02,3,8.66155
-10.02,3,8.665055
-10.02,3,8.669055
-10.04,5,8.673055
-10.04,5,8.683565
-10.03,4,8.688075
-10.02,3,8.691074
-10.03,4,8.694075
-10.03,4,8.697586
-10.02,3,8.700586
-10.03,4,8.703588
-10.02,3,8.706091
-10.05,6,8.711097
-10.02,3,8.714128
-10.04,5,8.718672
-10.04,5,8.722702
-10.02,3,8.724703
-10.02,3,8.728273
-10.02,3,8.731278
-10.02,3,8.736277
-10.03,4,8.745519
-10.02,3,8.749034
-10.03,4,8.753033
-10.11,12,8.762056
-10.03,4,8.765058
-10.02,3,8.767567
-10.02,3,8.770568
-10.04,5,8.774604
-10.02,3,8.777135
-10.04,5,8.782173
-10.02,3,8.78514
-10.13,14,8.796681
-10.02,3,8.799844
-10.06,7,8.804846
-10.02,3,8.807356
-10.02,3,8.810393
-10.02,3,8.820876
-10.02,3,8.823878
-10.02,3,8.825877
-10.02,3,8.829389
-10.02,3,8.832387
-10.04,5,8.836388
-10.02,3,8.838903
-10.02,3,8.841938
-10.03,4,8.84793
-10.02,3,8.851011
-10.02,3,8.853014
-10.04,5,8.856556
-10.03,4,8.861131
-10.04,5,8.86513
-10.02,3,8.867101
-10.02,3,8.87065
-10.02,3,8.880125
-10.03,4,8.883124
-10.02,3,8.886126
-10.02,3,8.888126
-10.05,6,8.894637
-10.04,5,8.898638
-10.35,36,8.925264
-10.04,5,8.929263
-10.02,3,8.931839
-10.03,4,8.935839
-10.02,3,8.938839
-10.02,3,8.941343
-10.03,4,8.94538
-10.02,3,8.947379
