#{"t_start": 1716944249.2110465, "env_id": "None"}
r,l,t
-10.13,14,46.84887
-10.1,11,46.892571
-10.1,11,46.93145
-10.08,9,46.963364
-10.25,26,47.058729
-10.13,14,47.10221
-10.09,10,47.141808
-10.03,4,47.158999
-10.03,4,47.181182
-10.07,8,47.211277
-10.08,9,47.272602
-10.15,16,47.349487
-10.04,5,47.363366
-10.02,3,47.372386
-10.04,5,47.389534
-10.03,4,47.406606
-10.04,5,47.423245
-10.02,3,47.448312
499.92,9,47.481516
-10.06,7,47.502727
-10.04,5,47.521607
-10.16,17,47.591496
-10.04,5,47.628405
-10.11,12,47.706367
-10.04,5,47.72997
-10.21,22,47.805769
-10.17,18,47.860195
-10.12,13,47.978299
-10.03,4,48.01867
-10.04,5,48.057969
-10.06,7,48.083501
-10.1,11,48.164318
-10.14,15,48.265621
-10.02,3,48.276645
-10.1,11,48.399059
-10.12,13,48.516436
-10.02,3,48.528463
-10.23,24,48.622471
-10.04,5,48.642026
-10.08,9,48.67511
-10.07,8,48.707228
-10.06,7,48.728537
-10.11,12,48.762532
-10.04,5,48.775728
-10.21,22,48.835258
-10.12,13,48.872377
-10.05,6,48.888397
-10.18,19,48.935623
-10.18,19,48.98777
-10.04,5,49.000381
-10.12,13,49.038701
-10.16,17,49.082339
-10.04,5,49.096862
-10.13,14,49.133209
-10.22,23,49.27122
-10.18,19,49.353524
-10.08,9,49.403316
-10.09,10,49.44696
-10.22,23,49.623324
-10.08,9,49.655894
-10.04,5,49.670945
-10.09,10,49.706027
-10.04,5,49.723597
-10.06,7,49.74854
-10.09,10,49.778787
-10.07,8,49.801569
-10.03,4,49.812222
-10.11,12,49.844464
-10.05,6,49.867636
-10.09,10,49.898398
-10.11,12,49.974972
-10.04,5,49.987996
-10.03,4,49.999542
-10.03,4,50.010368
-10.05,6,50.025661
-10.11,12,50.061197
-10.08,9,50.107398
-10.39,40,50.242562
-10.06,7,50.303442
-10.07,8,50.36048
-10.1,11,50.47249
-10.07,8,50.497618
-10.11,12,50.591422
-10.06,7,50.63038
-10.17,18,50.692378
-10.04,5,50.715638
-10.08,9,50.750314
-10.02,3,50.762409
-10.14,15,50.804346
499.86,15,50.846604
-10.06,7,50.87027
-10.26,27,50.966698
-10.08,9,50.998573
-10.08,9,51.032485
-10.14,15,51.148526
-10.15,16,51.20365
-10.06,7,51.221584
-10.05,6,51.236602
-10.02,3,51.244813
-10.09,10,51.270428
-10.07,8,51.296679
-10.08,9,51.331891
-10.04,5,51.358985
