time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,train/learning_rate,train/loss,train/n_updates
932,-10.171399999999998,505,15654,18.14,0.05,30,0.1,0.5946035981178284,3888
936,-5.071899999999999,505,15673,18.19,0.05,30,0.1,0.8922194242477417,3893
940,-5.071,505,15810,18.1,0.05,31,0.1,1.1811926364898682,3927
944,-5.070999999999999,505,15878,18.1,0.05,31,0.1,1.494587779045105,3944
948,-5.074699999999998,505,15953,18.47,0.05,31,0.1,0.5899250507354736,3963
952,-5.080099999999999,506,16048,19.01,0.05,31,0.1,0.30294105410575867,3986
956,-5.088799999999999,505,16250,19.88,0.05,32,0.1,0.8897757530212402,4037
960,-5.0794,505,16317,18.94,0.05,32,0.1,0.001981495413929224,4054
964,-5.0729999999999995,503,16357,18.3,0.05,32,0.1,0.5942984223365784,4064
968,-5.072999999999999,503,16376,18.3,0.05,32,0.1,0.3039673864841461,4068
972,-5.073599999999999,502,16508,18.36,0.05,32,0.1,0.5982840061187744,4101
976,-5.088499999999999,500,16713,19.85,0.05,33,0.1,0.2981994152069092,4153
980,-5.090599999999999,499,16750,20.06,0.05,33,0.1,0.5916643738746643,4162
984,-5.0969999999999995,498,16832,20.7,0.05,33,0.1,0.3268122971057892,4182
988,-5.093599999999999,499,16883,20.36,0.05,33,0.1,0.0019890626426786184,4195
992,-5.089999999999998,499,16900,20.0,0.05,33,0.1,0.004099570214748383,4199
996,-5.082699999999999,499,16915,19.27,0.05,33,0.1,0.8916999101638794,4203
1000,-5.077899999999999,497,17059,18.79,0.05,34,0.1,0.2970201075077057,4239
1004,-5.078399999999999,497,17080,18.84,0.05,34,0.1,0.8989863395690918,4244
1008,-5.0737,497,17143,18.37,0.05,34,0.1,0.8937602043151855,4260
1012,-5.076599999999999,497,17206,18.66,0.05,34,0.1,0.0015227517578750849,4276
1016,-5.0659,497,17223,17.59,0.05,34,0.1,0.5866031646728516,4280
